iter	Passed	Remaining
195	357	1466
196	358	1460
197	359	1455
198	360	1449
199	364	1457
200	365	1452
201	368	1456
202	369	1451
203	370	1446
204	371	1440
205	372	1435
206	373	1430
207	374	1424
208	375	1419
209	375	1414
210	403	1507
211	404	1502
212	405	1498
213	417	1531
214	418	1526
215	420	1524
216	421	1520
217	423	1517
218	423	1511
219	431	1528
220	432	1526
221	434	1521
222	435	1516
223	436	1513
224	444	1532
225	446	1529
226	447	1524
227	449	1521
228	450	1516
229	451	1510
230	452	1505
231	453	1499
232	453	1494
233	455	1489
234	460	1497
235	461	1494
236	462	1489
237	463	1485
238	465	1480
239	465	1475
240	466	1470
241	467	1464
242	468	1459
243	469	1454
244	470	1449
245	471	1444
246	474	1445
247	475	1440
248	476	1435
249	477	1431
250	477	1426
251	478	1421
252	479	1416
253	480	1411
254	481	1406
255	482	1401
256	483	1396
257	484	1392
258	484	1387
259	488	1389
260	489	1386
261	490	1381
262	491	1376
263	492	1372
264	493	1367
265	493	1362
266	494	1358
267	495	1353
268	496	1349
269	497	1344
270	498	1340
271	499	1335
272	500	1331
273	504	1337
274	506	1334
275	509	1335
276	511	1334
277	512	1331
278	513	1327
279	522	1343
280	523	1340
281	525	1336
282	526	1334
283	527	1330
284	528	1326
285	531	1326
286	535	1331
287	537	1327
288	538	1323
289	539	1319
290	539	1315
291	540	1311
292	541	1307
293	542	1302
294	543	1298
295	545	1296
296	546	1294
297	550	1296
298	552	1294
299	553	1290
300	554	1287
301	555	1284
302	556	1280
303	557	1276
304	558	1272
305	559	1268
306	560	1264
307	561	1260
308	561	1256
309	565	1258
310	566	1255
311	567	1251
312	568	1247
313	569	1243
314	570	1239
315	570	1235
316	571	1232
317	572	1228
318	573	1224
319	574	1220
320	575	1217
321	576	1213
322	577	1209
323	580	1211
324	581	1208
325	582	1204
326	583	1200
327	584	1197
328	585	1193
329	586	1190
330	587	1186
331	587	1182
332	588	1179
333	589	1175
334	590	1172
335	591	1168
336	592	1165
337	595	1166
338	596	1163
339	597	1160
340	598	1156
341	599	1153
342	600	1149
343	601	1146
344	602	1143
345	602	1139
346	603	1136
347	604	1132
348	605	1129
349	606	1126
350	607	1122
351	611	1126
352	613	1123
353	614	1120
354	614	1117
355	615	1114
356	616	1110
357	617	1107
358	618	1104
359	619	1101
360	620	1097
361	621	1094
362	622	1091
363	622	1088
364	626	1090
365	627	1087
366	629	1085
367	630	1082
368	631	1079
369	632	1076
370	632	1073
371	633	1070
372	634	1066
373	635	1063
374	636	1060
375	637	1057
376	638	1054
377	642	1056
378	643	1053
379	643	1050
380	644	1047
381	645	1044
382	646	1041
383	647	1038
384	648	1035
385	649	1032
386	650	1029
387	651	1026
388	651	1023
389	652	1020
390	653	1018
391	657	1020
392	658	1017
393	659	1015
394	661	1013
395	662	1010
396	663	1007
397	664	1004
398	664	1001
399	665	998
400	666	995
401	667	993
402	668	990
403	671	990
404	672	987
405	673	985
406	674	982
407	675	979
408	675	976
409	676	973
410	677	971
411	678	968
412	679	965
413	680	963
414	681	960
415	682	957
416	682	954
417	683	952
418	685	950
419	686	947
420	687	945
421	688	942
422	689	939
423	689	937
424	690	934
425	691	932
426	692	929
427	693	926
428	694	924
429	695	921
430	696	918
431	696	916
432	700	917
433	701	914
434	702	912
435	703	909
436	704	907
437	705	904
438	705	902
439	706	899
440	707	897
441	708	894
442	709	891
443	710	889
444	711	886
445	712	884
446	715	885
447	716	882
448	717	880
449	718	877
450	719	875
451	719	872
452	720	870
453	721	867
454	722	865
455	723	863
456	724	860
457	725	858
458	726	855
459	726	853
460	730	853
461	731	851
462	732	849
463	733	847
